Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2018,AUSPIN,Mapeamento das Atividades e Programas Didáticos de Disseminação e Estímulo ao Empreendedorismo na Universidade de São Paulo,Cultura e Extensão,Geciâne Silveira Porto,1
2018,AUSPIN,Difusão do conhecimento científico e tecnológico em prol do desenvolvimento socioeconômico e cultural do País,Cultura e Extensão,Marcos Nogueira Martins,1
2018,AUSPIN,Mapeamento das estruturas e serviços tecnológicos de apoio a startups na USP,Cultura e Extensão,Geciâne Silveira Porto,5
2018,AUSPIN,Ocean Biogeographic Information System (OBIS)   uma maneira de integrar extensão e pesquisa em benefício da conservação marinha,Pesquisa,Marcos Nogueira Martins,1
2018,BibMindlin,A Higienização na Conservação Preventiva do Acervo da Biblioteca Brasiliana Guita e Jose Mindlin,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,9
2018,BibMindlin,Arquivos Pessoais da BBM: Gestão do acervo documental,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,3
2018,BibMindlin,Biblioteca Digital da BBM: Gestão das coleções especiais e obras raras,Cultura e Extensão,Alexandre Macchione Saes,3
2018,BibMindlin,Projeto 3 vezes 22: Duzentos anos da Independência e dos cem anos da Semana de Arte Moderna Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Alexandre Macchione Saes,6
2018,BibMindlin,Setor de Mediação Cultural,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,8
2018,BibMindlin,Setor de Publicações Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Plinio Martins Filho,4
2018,BibMindlin,Tratamento de coleções especiais e obras raras  do acervo da BBM,Cultura e Extensão,Alexandre Macchione Saes,4
2018,CDCC,"A construção do roteiro de visita do Espaço de Física do CDCC-USP com a temática  Energia elétrica: de onde vem, para onde vai? .",Cultura e Extensão,Nelma Regina Segnini Bossolan,2
2018,CDCC,A Experimentação no Ensino de Ciências,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,3
2018,CDCC,A Sala Solar: um espaço para introdução e apreciação da Física Moderna,Cultura e Extensão,Cibelle Celestino Silva,1
2018,CDCC,"ABC na Educação Científica   Mão na Massa, no CDCC",Cultura e Extensão,Salete Linhares Queiroz,3
2018,CDCC,Cineclube CDCC,Cultura e Extensão,Valter Luiz Líbero,1
2018,CDCC,Divulgando Jogos e Conhecimentos Matemáticos para São Carlos e para o Brasil -IV,Cultura e Extensão,Edna Maura Zuffi,1
2018,CDCC,Espaço Lúdico - jogos e atividades educativas na construção do conhecimento,Cultura e Extensão,Hidetake Imasato,2
2018,CDCC,Experimentoteca Maker,Cultura e Extensão,Valter Luiz Líbero,2
2018,CDCC,Informática para alunos do Ensino Fundamental e Médio: uma proposta educativa de inclusão digital e social,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,2
2018,CDCC,Passeando pelo Jardim do Céu na Terra,Cultura e Extensão,Valter Luiz Líbero,1
2018,CDCC,Raios! Mensageiros do cosmos,Cultura e Extensão,Cibelle Celestino Silva,1
2018,CDCC,Visitas monitoradas: Educação Ambiental em Áreas Verdes Urbanas,Cultura e Extensão,Salete Linhares Queiroz,3
2018,CEBIMar,Monitoria em visitas guiadas ao CEBIMar: formação acadêmica aliada à divulgação científica e educação ambiental,Cultura e Extensão,Alvaro Esteves Migotto,2
2018,CENA,Articulação de ações do GT Água e gerenciamento dos recursos hídricos do Campus  Luiz de Queiroz,Cultura e Extensão,Plinio Barbosa de Camargo,2
2018,CENA,Desenvolvimento de metodologia de separação das pupas do mosquito Aedes aegypti (Diptera: Culicidae) e sua relação com o aumento da longevidade,Pesquisa,Valter Arthur,1
2018,CENA,Desenvolvimento e aplicação de extração em fase sólida em ponteiras descartáveis para pesticida carbamato em amostras vegetais,Pesquisa,Fabio Rodrigo Piovezani Rocha,1
2018,CENA,Elaboração e Aplicação de Atividades Educativas acerca do Uso Racional da Água dentro e fora do campus Luiz de Queiroz,Ensino,Plinio Barbosa de Camargo,2
2018,CENA,Enzimas fibrolíticas exógenas para incrementar a eficiência no uso dos nutrientes pelos ruminantes,Pesquisa,Adibe Luiz Abdalla,1
2018,CENA,Identificação da eficiência de uso da água e eficiência nutricional em clones de eucalipto submetidos à aplicação de K e Na,Pesquisa,José Lavres Junior,1
2018,CENA,Influência da luz no crescimento diferencial dos diferentes tipos radiculares da espécie modelo S.viridis.,Pesquisa,Francisco Scaglia Linhares,1
2018,CENA,Interação entre potássio e sódio nas trocas gasosas e no metabolismo oxidativo de eucalipto submetido ao déficit hídrico,Pesquisa,José Lavres Junior,1
2018,CENA,Mutagênese sítio-específica no gene codificante à proteína PI4Kγ1 de Arabidopsis thaliana mediada por CRISPR/Cas9.,Pesquisa,Francisco Scaglia Linhares,1
2018,CENA,"PARÂMETROS HÍDRICOS QUALITATIVOS EM TRÊS CORPOS HÍDRICOS: RIBEIRÃO PIRACICAMIRIM, RIBEIRÃO DAS POSSES E NASCENTES DO CAMPUS  LUIZ DE QUEIROZ .",Pesquisa,Plinio Barbosa de Camargo,1
2018,CENA,Potássio atenua estresse hídrico em cana-de-açúcar aumentando a eficiência no uso da água,Pesquisa,José Lavres Junior,1
2018,CENA,Valor nutritivo de forragens,Pesquisa,Adibe Luiz Abdalla,1
2018,CEPEUSP,Ginástica Laboral na USP,Cultura e Extensão,Alexandre Moreira,1
2018,CEPEUSP,PROJETO BRINCAR NO CEPEUSP: O BRINCAR,Cultura e Extensão,Luiz Eduardo Pinto Basto Tourinho Dantas,2
2018,CEPEUSP,PROJETO ESPORTE TALENTO: EDUCAÇÃO ESPORTIVA,Cultura e Extensão,Luiz Eduardo Pinto Basto Tourinho Dantas,6
2018,CEUMA,Comunicação Visual do Centro Universitário Maria Antonia,Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,2
2018,CEUMA,"DOCUMENTAÇÃO CEUMA: pesquisa, organização e difusão do material de divulgação do Centro Universitário Maria Antonia",Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,2
2018,CEUMA,Práticas mediativas: núcleo educativo e expositivo,Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,8
2018,CEUMA,USP: CAMPUS AMIGO DE TODAS AS IDADES,Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,4
2018,CienTec,Formação e atendimento de públicos pelo Parque CienTec,Cultura e Extensão,Alessandra Fernandes Bizerra,20
2018,CienTec,Memória material da Estação Ciência: organização e tratamento dos documentos históricos.,Cultura e Extensão,Alessandra Fernandes Bizerra,2
2018,CienTec,Projeto Grupo Ecotrilhas: aplicando pedagogias e tecnologias emergentes em modelos de educação ambiental voltados ao ensino público.,Cultura e Extensão,Flavio Augusto de Souza Berchez,8
2018,CINUSP,PROJETO CINUSP / PRCEU,Cultura e Extensão,Cristian da Silva Borges,9
2018,CORAL USP,CORALUSP: Experiências de produção musical   da documentação aos bastidores,Cultura e Extensão,Luiz Ricardo Basso Ballestero,9
2018,CPC,Catalogação do acervo bibliográfico do Centro de Preservação Cultural da Universidade de São Paulo,Cultura e Extensão,Martha Marandino,4
2018,CPC,Educação e patrimônio na USP: conceituação e práticas na Casa de Dona Yayá,Cultura e Extensão,Martha Marandino,5
2018,CPC,"MEMÓRIAS E REPRESENTAÇÕES
NA CASA DE DONA YAYÁ",Cultura e Extensão,Marcos Domingos Siqueira Tavares,2
2018,EACH,"Processos, técnicas e práticas na valorização de resíduos sólidos orgânicos como instrumento pedagógico de ensi",Ensino,Ednilson Viana,1
2018,EACH,Título:  Estudo dos fatores que impactam no desempenho dos alunos na disciplina de tratamento e análise de dados e informação da EAC,Pesquisa,Fernando Fagundes Ferreira,1
2018,EACH,A  continuidade do cuidado no pós   parto; ambulatório para mulheres usuárias de substâncias psicoativas e para mulheres que perderam os bebês,Cultura e Extensão,Jacqueline Isaac Machado Brigagão,2
2018,EACH,"ESPAÇO CIÊNCIA, CULTURA E EDUCAÇÃO - ECCE",Cultura e Extensão,Rosely Aparecida Liguori Imbernon,4
2018,EACH,Sobre uma bijeção entre o conjunto das partes e os movimentos da torre de Hano,Pesquisa,Antonio Calixto de Souza Filho,1
2018,EACH,A crescente participação do gás natural na matriz energética brasileira e as políticas públicas,Pesquisa,Dominique Mouette,1
2018,EACH,"A flora da vegetação do Instituto Butantã: morfologia, síndromes de polinização e dispersão.",Pesquisa,Leonardo Dias Meireles,2
2018,EACH,A implantação do REDD+ no Brasil: financiamento de fundos públicos e do mercado de carbono,Pesquisa,Sonia Regina Paulino,1
2018,EACH,A interação entre o sono e o desenvolvimento neurofisiológico do bebê: uma revisão sistemática e quantitativa da literatura,Pesquisa,Mario Pedrazzoli Neto,1
2018,EACH,A interiorização do sistema carcerário em São Paulo,Pesquisa,Agnaldo Valentin,1
2018,EACH,A Interpretação Geométrica dos Textos Matemáticos Mesopotâmicos: suas características e sua validade.,Pesquisa,Carlos Henrique Barbosa Gonçalves,1
2018,EACH,"A juventude nas percepções de idosos moradores do Brás e da Mooca, São Paulo",Pesquisa,Bibiana Graeff Chagas Pinto,1
2018,EACH,A memória das políticas públicas - um estudo sobre a percepção presente e pretérita sobra a inflação.,Pesquisa,Agnaldo Valentin,1
2018,EACH,A percepção do envelhecimento e velhice entre os indígenas da aldeia tupi-guarani Rio Silveiras,Pesquisa,Jorge Alberto Silva Machado Villanueva,1
2018,EACH,A Quantas Anda o Campo de Públicas no Brasil? O processo de institucionalização após consolidação normativa (DCNs).,Pesquisa,Fernando de Souza Coelho,1
2018,EACH,"A sexualidade na gestação, no parto e  no pós-parto: uma revisão da literatura científica",Pesquisa,Jacqueline Isaac Machado Brigagão,1
2018,EACH,A.L.I.C.E. no CCA: Projeto  Arte e Lúdico na Investigação da Ciência em Espaços Educativos  no Centro para Crianças e Adolescentes Jardim Keralux,Cultura e Extensão,Luis Paulo de Carvalho Piassi,6
2018,EACH,Acessibilidade Espacial à Saúde Básica no Município de São Paulo,Pesquisa,Alexandre Ribeiro Leichsenring,1
2018,EACH,Ações preventivas para a síndrome da morte súbita em bebês: uma revisão sistemática e quantitativa da literatura,Pesquisa,Ana Amélia Benedito Silva,1
2018,EACH,Acolhimento para pessoas em situação de violência sexual e de gênero,Cultura e Extensão,Elizabete Franco Cruz,1
2018,EACH,"ACOMPANHAMENTO, DIVULGAÇÃO E AVALIAÇÃO DAS ATIVIDADES DO CICLO BÁSICO DA EACH/USP",Ensino,Michele Schultz Ramos,2
2018,EACH,Adesão à terapêutica da hipertensão arterial,Pesquisa,Caroline Ribeiro de Borja Oliveira,1
2018,EACH,Adoção e utilização de smartphones por idosos: associações com  sociabilidade e autopercepções de envelhecimento,Pesquisa,Samila Sathler Tavares Batistoni,2
2018,EACH,ADOLESCER   A Atenção Primária à Saúde como base de promoção da saúde sexual e reprodutiva de adolescentes,Cultura e Extensão,Celia Regina Maganha e Melo,2
2018,EACH,ALCOOLISMO FEMININO E GÊNERO: Representações e práticas sobre o uso do álcool e alcoolismo de mulheres em tratamento em Alcoólicos Anônimos.,Pesquisa,Edemilson Antunes de Campos,1
2018,EACH,Algoritmo de busca distribuído para análise e gerenciamento de processos de negócio,Pesquisa,Marcelo Fantinato,1
2018,EACH,"ALIANÇA USP-GUARANIS: Extensão, docência e e pesquisa com uma cultura milenar",Cultura e Extensão,Jorge Alberto Silva Machado Villanueva,1
2018,EACH,Ambiência em ILPIs: o que pensam os idosos moradores e seus familiares?,Pesquisa,Maria Luisa Trindade Bestetti,2
2018,EACH,"Análise cladística da subfamília Tricommatinae Roewer, 1912 (Arachnida: Opiliones: Laniatores) com descrição de nova espécie",Pesquisa,Marcos Ryotaro Hara,1
2018,EACH,Análise da Longevidade Cronológica e Replicativa da levedura Saccharomyces cerevisiae em microgravidade simulada,Pesquisa,José Ribamar dos Santos Ferreira Júnior,1
2018,EACH,Análise da meiofauna marinha (Foraminifera) durante a mega explosão do vulcão Toba,Pesquisa,Wânia Duleba,1
2018,EACH,Análise de bibliotecas para identificar bactérias produtoras de enzimas de interesse industrial,Pesquisa,Felipe Santiago Chambergo Alcalde,1
2018,EACH,Análise do egresso de Gestão Ambiental EACH/USP: subsídios para avaliação contínua do projeto pedagógico e da estrutura curricular do curso,Ensino,Helene Mariko Ueno,3
2018,EACH,"ANÁLISE DO PROGRAMA DE APERFEIÇOAMENTO DE ENSINO (PAE) NA ESCOLA DE ARTES, CIÊNCIAS E HUMANIDADES (EACH)",Ensino,Marcelo Vilela de Almeida,1
2018,EACH,Análise e sistematização de dados de saneamento básico dos municípios do Vale Histórico Paulista,Pesquisa,Silvia Helena Zanirato,1
2018,EACH,Análise temática dos trabalhos de conclusão do curso de bacharelado em Gestão Ambiental da EACH/USP,Ensino,Helene Mariko Ueno,2
2018,EACH,Análises bibliométrica e de redes   periódico Estudios y perspectivas en turismo (Argentina),Pesquisa,André Fontan Kohler,1
2018,EACH,Ansiedade e comportamento do olhar no controle postural,Pesquisa,Cassio de Miranda Meira Junior,1
2018,EACH,Aplicacao de IoT no desenvolvimento do HabitsID: fechadura eletronica conectada a um sistema de gestao.,Cultura e Extensão,Renato Braz Oliveira de Seixas,1
2018,EACH,Aplicação de ontologias na área de Química Medicinal para descoberta de compostos bioativos candidatos ao tratamento de câncer.,Pesquisa,Patrícia Rufino Oliveira,1
2018,EACH,"Apoio à Produção de Material Didático sobre Inovação, Gestão de Processos e  Tecnologia da Informação no Setor Público",Ensino,Jose Carlos Vaz,3
2018,EACH,APOIO PEDAGÓGICO PARA O ENSINO DE WEARABLES (DISPOSITIVOS VESTÍVEIS),Ensino,Isabel Cristina Italiano,1
2018,EACH,APRENDER MATEMÁTICA,Ensino,Flávia Noronha Dutra Ribeiro,1
2018,EACH,Aprendizagem da Língua Inglesa e seu impacto em idosos frequentadores da Universidade Aberta à Terceira Idade,Pesquisa,Meire Cachioni,1
2018,EACH,"Aproveitamento de resíduos recicláveis com capacitação, recreação e integração social da comunidade",Cultura e Extensão,Renata Colombo,2
