Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2019,BibMindlin,A Higienização na conservação preventiva do acervo da BBM/USP,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,5
2019,BibMindlin,Biblioteca Digital da BBM: Gestão das obras raras e coleções especiais,Cultura e Extensão,Alexandre Luís Moreli Rocha,5
2019,BibMindlin,Impressos não convencionais: a literatura cinzenta no Brasil oitocentista,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,6
2019,BibMindlin,Projeto 3 vezes 22: Duzentos anos da Independência e dos cem anos da Semana de Arte Moderna Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Alexandre Luís Moreli Rocha,8
2019,BibMindlin,Setor de mediação cultural,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,6
2019,BibMindlin,Setor de Publicações,Cultura e Extensão,Plinio Martins Filho,3
2019,CDCC,A experimentação no ensino de Ciências,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,6
2019,CDCC,A Sala Solar: um espaço para introdução e apreciação da física moderna,Cultura e Extensão,Cibelle Celestino Silva,1
2019,CDCC,"ABC na Educação Científica   Mão na Massa, no CDCC",Cultura e Extensão,Salete Linhares Queiroz,2
2019,CDCC,"Aplicação e avaliação do roteiro de visita do Espaço de Física do CDCC-USP com a temática  Energia elétrica: de onde vem, para onde vai? .",Cultura e Extensão,Nelma Regina Segnini Bossolan,2
2019,CDCC,CDCC-USP: 40 anos difundindo a Ciência para São Carlos e região.,Cultura e Extensão,Nelma Regina Segnini Bossolan,2
2019,CDCC,Cine Observatório: quando astronomia e arte se encontram,Cultura e Extensão,Luiz Vitor de Souza Filho,2
2019,CDCC,CINECLUBE CDCC,Cultura e Extensão,Elisabete Moreira Assaf,2
2019,CDCC,Divulgando Jogos e Conhecimentos Matemáticos para São Carlos e para o Brasil -V,Cultura e Extensão,Edna Maura Zuffi,2
2019,CDCC,ESPAÇO LÚDICO - jogos e atividades educativas na construção do conhecimento,Cultura e Extensão,Hidetake Imasato,4
2019,CDCC,Experimentoteca Maker,Cultura e Extensão,Valter Luiz Líbero,2
2019,CDCC,Informática para alunos do Ensino Fundamental e Médio: uma proposta educativa de inclusão digital e social,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,4
2019,CDCC,Passeando pelo Jardim do Céu na Terra,Cultura e Extensão,Valter Luiz Líbero,2
2019,CDCC,Raios! Mensageiros do cosmos,Cultura e Extensão,Cibelle Celestino Silva,2
2019,CDCC,Visitas monitoradas: Educação Ambiental em Áreas Verdes Urbanas,Cultura e Extensão,Salete Linhares Queiroz,3
2019,CEBIMar,Monitoria em visitas guiadas ao CEBIMar: formação acadêmica aliada à divulgação científica e educação ambiental,Cultura e Extensão,Alvaro Esteves Migotto,2
2019,CENA,AVALIAÇÃO DOS PARÂMETROS HÍDRICOS QUALITATIVOS EM DOIS CORPOS HÍDRICOS: MICROBACIA DO RIBEIRÃO PIRACICAMIRIM E NASCENTES DO CAMPUS  LUIZ DE QUEIROZ .,Pesquisa,Plinio Barbosa de Camargo,1
2019,CENA,Avaliação fisiológica de mutantes insercionais de Brachypodium distachyon para subfamília NRT1 cultivados em nitrato,Pesquisa,Antonio Vargas de Oliveira Figueira,1
2019,CENA,Cultivo in vitro e transformação genética do genótipo MEV de Setaria viridis,Pesquisa,Adriana Pinheiro Martinelli,1
2019,CENA,Desenvolvimento de metodologia de separação das pupas do mosquito Aedes aegypti  (Diptera: Culicidae) e sua relação com o aumento da longevidade.,Pesquisa,Valter Arthur,1
2019,CENA,Desenvolvimento de procedimentos analíticos baseados em imagens digitais para a detecção de fraudes por adição de formaldeído e ureia em leite,Pesquisa,Fabio Rodrigo Piovezani Rocha,1
2019,CENA,Elaboração e aplicação de atividades educacionais sobre o tema  Água  com alunos de escolas públicas e com a comunidade do campus  Luiz de Queiroz .,Ensino,Plinio Barbosa de Camargo,2
2019,CENA,Estabelecimento in vitro e micropropagação de duas espécies de cactáceas do gênero Tacinga,Pesquisa,Adriana Pinheiro Martinelli,1
2019,CENA,"Metagenômica da comunidade viral no rúmen, abomaso e fezes de ovinos infectados com os parasitas Haemonchus contortus e Trichostrongylus colubriformes",Pesquisa,Diego Mauricio Riaño Pachón,1
2019,CENA,"Mineralogia e geoquímica de solos no entorno de lagoas da Nhecolândia, sub-região do Pantanal",Pesquisa,Celia Regina Montes,1
2019,CENA,Mutagênese sítio-específica no gene codificante à proteína PI4Kγ8 de Arabidopsis thaliana mediada por CRISPR/Cas9.,Pesquisa,Francisco Scaglia Linhares,1
2019,CENA,"Nitrogênio, Fósforo e Potássio no Sistema Serapilheira-Solo-Planta em Cultivo de Eucalyptus Tratado com Lodo de Esgoto Classe B",Pesquisa,Cassio Hamilton Abreu Junior,1
2019,CENA,"Procedimentos analíticos para o screening dos teores de proteína e gordura em leite, visando à detecção de adulterações",Pesquisa,Fabio Rodrigo Piovezani Rocha,1
2019,CEPEUSP,PROGRAMA DE DESENVOLVIMENTO HUMANO PELO ESPORTE: PROJETO BRINCAR NO CEPEUSP (PBC) E PROJETO ESPORTE TALENTO (PET),Cultura e Extensão,Luiz Eduardo Pinto Basto Tourinho Dantas,8
2019,CEUMA,COMUNICAÇÃO VISUAL DO CENTRO UNIVERSITÁRIO MARIA ANTONIA,Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,2
2019,CEUMA,"DOCUMENTAÇÃO CEUMA: pesquisa, organização e difusão do material de divulgação do Centro Universitário Maria Antonia",Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,2
2019,CEUMA,Produção de eventos no Centro Universitário Maria Antonia,Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,2
2019,CienTec,Formação e atendimento de públicos pelo Parque CienTec,Cultura e Extensão,Alessandra Fernandes Bizerra,20
2019,CienTec,Projeto Grupo Ecotrilhas: aplicando pedagogias e tecnologias emergentes em modelos de educação ambiental voltados ao ensino público.,Cultura e Extensão,Flavio Augusto de Souza Berchez,8
2019,CORAL USP,CORALUSP 52 anos: Experiências de produção musical   da documentação aos bastidor,Cultura e Extensão,Luiz Ricardo Basso Ballestero,10
2019,CPC,Catalogação do acervo bibliográfico do Centro de Preservação Cultural da Universidade de São Paulo   fase II,Cultura e Extensão,Martha Marandino,2
2019,CPC,Educação e patrimônio na USP: conceituação e práticas na Casa de Dona Yayá,Cultura e Extensão,Simone Scifoni,5
2019,CPC,Memória material da Estação Ciência: organização e tratamento dos documentos históricos,Cultura e Extensão,Martha Marandino,3
2019,EACH,A aritmética dos números primos,Pesquisa,Rosana Retsos Signorelli Vargas,1
2019,EACH,"A coleção de plantas do Herbário SPFE da Escola de Artes, Ciências e Humanidades: identificação, organização e informatização",Ensino,Leonardo Dias Meireles,2
2019,EACH,A expressão do ciclo sono-vigília ao longo da gravidez:uma revisão sistemática e quantitativa da literatura.,Pesquisa,Mario Pedrazzoli Neto,1
2019,EACH,A Matemática através de novos olhares.,Cultura e Extensão,Rosana Retsos Signorelli Vargas,1
2019,EACH,A mobilização de capacidades estatais em contexto de crise e transição no setor público: demandas para o ensino de Gestão de Políticas Públicas,Ensino,Jose Carlos Vaz,4
2019,EACH,A promoção de talentos e o efeito da idade relativa nas categorias de base do Santos Futebol Clube.,Pesquisa,Marcelo Massa,1
2019,EACH,A voz que vem da quadra - o esporte pela mudança social sob o ponto de vista dos educadores,Pesquisa,Mariana Harumi Cruz Tsukamoto,1
2019,EACH,Abordagem interdisciplinar de segurança alimentar na disciplina ACH3787 - Seminários de Políticas Públicas Setoriais II - Multiculturalismo e Direitos,Ensino,Jorge Alberto Silva Machado Villanueva,1
2019,EACH,Acolhimento da EACH,Cultura e Extensão,Claudia Medeiros de Castro,1
2019,EACH,"ACOMPANHAMENTO, DIVULGAÇÃO E AVALIAÇÃO DAS ATIVIDADES DO CICLO BÁSICO DA EACH/USP",Ensino,Humberto Miguel Garay Malpartida,2
2019,EACH,"ADEARTES 2019/2020
Projeto de acesso cultural na USP - Câmpus Capital Leste",Cultura e Extensão,Josmar Andrade,2
2019,EACH,Agenda governamental em discussão: debates como instrumento de ensino em Gestão de Políticas Públicas,Ensino,Jose Carlos Vaz,2
2019,EACH,Agricultura Urbana no Viveiro-Escola da União Vila Nova,Pesquisa,Eduardo de Lima Caldas,1
2019,EACH,Agroecologia e produção de alimentos,Pesquisa,Diamantino Alves Correia Pereira,1
2019,EACH,Alcoolismo feminino e gênero: Representações e práticas sobre o uso do álcool e alcoolismo de mulheres em tratamento em Alcoólicos Anônimos,Pesquisa,Edemilson Antunes de Campos,1
2019,EACH,"ALIANÇA USP-GUARANIS: Extensão, docência e pesquisa com uma cultura milenar",Cultura e Extensão,Jorge Alberto Silva Machado Villanueva,2
2019,EACH,ANÁLISE DAS RELAÇÕES ENTRE ESTRUTURA E ATIVIDADE DE LIGANTES DE ORIGEM NATURAL E SINTÉTICA RELACIONADOS A DOENÇAS NEGLIGENCIADAS,Pesquisa,Káthia Maria Honorio,1
2019,EACH,Análise de Patentes por citações usando ontologias e técnicas de Reconhecimento de padrões,Pesquisa,Esteban Fernandez Tuesta,1
2019,EACH,Análise dos impactos da introdução de alimentos industrializados na cultura alimentar Guarani,Pesquisa,Jorge Alberto Silva Machado Villanueva,1
