Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2015,EACH,Caracterização dos fluxos de atendimento e encaminhamento de gestantes com diagnóstico de óbito fetal em hospital público do estado de São Paulo,Pesquisa,Jacqueline Isaac Machado Brigagão,2
2015,EACH,Centro de Documentação- História e memória da Obstetrícia,Cultura e Extensão,Elizabete Franco Cruz,2
2015,EACH,CIÊNCIA E LITERATURA: A RELAÇÃO ENTRE A LITERATURA JUVENIL E TEMAS CIENTÍFICOS EM CLUBES DE LEITURA NO ENSINO FUNDAMENTAL II,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,"CIÊNCIA, ARTE E SOCIEDADE: MONITORIA NO PROJETO A.L.I.C.E.",Cultura e Extensão,Luis Paulo de Carvalho Piassi,2
2015,EACH,"CIÊNCIA, ARTE E SOCIEDADE: MONITORIA NO PROJETO J.O.A.N.I.N.H.A.",Cultura e Extensão,Luis Paulo de Carvalho Piassi,2
2015,EACH,CIÊNCIAMÃO: PORTAL DE RECURSOS DIDÁTICOS,Cultura e Extensão,Luis Paulo de Carvalho Piassi,2
2015,EACH,CLIMATÉRIO: MÉTODOS CONTRACEPTIVOS E PREVENTIVOS DE DOENÇAS SEXUALMENTE TRANSMISSÍVEIS,Pesquisa,Lucia Cristina Florentino Pereira da Silva,3
2015,EACH,Como superar o ceticismo do consumidor em relação à propaganda,Pesquisa,Jose Mauro da Costa Hernandez,2
2015,EACH,Comparação dos efeitos do treinamento em realidade virtual (Xbox Kinect) e do método Pilates no desempenho físico-funcional de idosas.,Pesquisa,Ruth Caldeira de Melo,1
2015,EACH,Competência motora na infância: efeitos de um programa de intervenção,Pesquisa,Alessandro Hervaldo Nicolai Ré,3
2015,EACH,Consumismo: uma análise psicossocial da modernidade,Pesquisa,Lisete Barlach,2
2015,EACH,contribuições socioantropológicas para (re)pensar a juventude e a gravidez na adolescência,Pesquisa,Régia Cristina Oliveira,2
2015,EACH,CONTROLE DE POLÍTICAS PÚBLICAS PELOS TRIBUNAIS DE CONTAS: Um estudo em busca da efetividade na leitura de indicadores orçamentários.,Ensino,Jaime Crozatti,3
2015,EACH,"CORPO, ETNIA E REPRODUÇÃO: A EXPERIÊNCIA DE MULHERES NEGRAS NO PROCESSO DE NASCIMENTO",Pesquisa,Edemilson Antunes de Campos,1
2015,EACH,Definição de metodologia e programação computacional de interfaces para formação de bases de imagens de expressões faciais,Pesquisa,Fátima de Lourdes dos Santos Nunes Marques,1
2015,EACH,"Desburocratiza, USP!",Cultura e Extensão,Jose Carlos Vaz,1
2015,EACH,Descoberta de uma nova espécie de planária terrestre,Pesquisa,Fernando Jesús Carbayo Baz,1
2015,EACH,Desenvolvimento com a comunidade (Atibaia e Bragança Paulista) de corantes naturais de produtos agrícolas locais para tingimento artesanal de têxteis,Cultura e Extensão,Júlia Baruque Ramos,1
2015,EACH,Desenvolvimento de extratores na recuperação de modelos médicos tridimensionais baseada em conteúdo.,Pesquisa,Helton Hideraldo Biscaro,2
2015,EACH,Desenvolvimento de Jogos Virtuais para apoio a fisioterapia de crianças com limitações motoras.,Pesquisa,Luciano Vieira de Araújo,3
2015,EACH,Desenvolvimento de técnicas de criação de planárias em laboratório,Pesquisa,Fernando Jesús Carbayo Baz,1
2015,EACH,"Desenvolvimento e operação de atividades e visitas técnicas para as disciplinas ACH1535, ACH1588 e ACH3598: lazer, turismo, cultura e patrimônio",Ensino,André Fontan Kohler,2
2015,EACH,Dificuldades e necessidades da população acima de 60anos no uso do sistema de transporte público em função da redução da audição e da visão,Pesquisa,Dominique Mouette,2
2015,EACH,Difusão de paradigmas de políticas sociais: os caminhos do Programa Bolsa Família no Grupo Banco Mundial.,Pesquisa,Cristiane Kerches da Silva Leite,1
2015,EACH,Difusão de paradigmas e políticas públicas: o caso da Lei de Drogas do Uruguai,Pesquisa,Cristiane Kerches da Silva Leite,1
2015,EACH,EACH de Portas Abertas,Ensino,Viviane Abreu Nunes Cerqueira Dantas,3
2015,EACH,Edição e circulação de manuais para engenheiros no período imperial (1808-1889),Pesquisa,Rogério Monteiro de Siqueira,3
2015,EACH,EFEITOS DA UTILIZAÇÃO DE JOGOS ELETRÔNICOS EM COMPUTADORES SOBRE INDICADORES DE ENVELHECIMENTO BEM-SUCEDIDO,Pesquisa,Meire Cachioni,1
2015,EACH,ENSAIO CLÍNICO SOBRE O USO DE COLA CIRÚRGICA NO REPARO DE EPISIOTOMIAS E LACERAÇÕES PERINEAIS,Pesquisa,Adriana Caroci Becker,2
2015,EACH,Ensino-Aprendizagem colaborativos e multidisciplinares com Arduíno e Raspberry Pi,Cultura e Extensão,Jorge Alberto Silva Machado Villanueva,1
2015,EACH,Equilibre-se,Cultura e Extensão,Ruth Caldeira de Melo,2
2015,EACH,Estudo de Temas Relacionados com Química Medicinal e a Construção de uma Sequência Didática para Alunos do Ensino Fundamental,Ensino,Káthia Maria Honorio,2
2015,EACH,ESTUDO DOS ÁCIDOS ORGÂNICOS PRESENTES NA VINHAÇA: USO DE FONTES RENOVÁVEIS DE MATÉRIA-PRIMA,Pesquisa,Renata Colombo,2
2015,EACH,Estudos de Longevidade Cronológica em Saccharomyces cerevisiae,Pesquisa,José Ribamar dos Santos Ferreira Júnior,3
