Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2020,BibMindlin,A Higienização na Conservação Preventiva do Acervo da Biblioteca Brasiliana Guita e José Mindlin.,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,5
2020,BibMindlin,Arquivos Pessoais da BBM: Gestão do acervo documental,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,3
2020,BibMindlin,Biblioteca Digital da BBM: Gestão das obras raras e coleções especiais,Cultura e Extensão,Alexandre Luís Moreli Rocha,3
2020,BibMindlin,Machado de Assis na BBM Digital,Cultura e Extensão,Hélio de Seixas Guimarães,3
2020,BibMindlin,Prática de edição comentada de impressos e manuscritos do período colonial (1500-1822),Pesquisa,Adma Fadul Muhana,1
2020,BibMindlin,Projeto 3 vezes 22: Duzentos anos da Independência e dos cem anos da Semana de Arte Moderna,Cultura e Extensão,Alexandre Macchione Saes,5
2020,BibMindlin,Setor de Mediação Cultural - Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Alexandre Luís Moreli Rocha,4
2020,BibMindlin,Setor de Publicações,Cultura e Extensão,Plinio Martins Filho,2
2020,CDCC,A experimentação no ensino de Ciências,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,3
2020,CDCC,A Sala Solar: um espaço para introdução e apreciação da Física Moderna,Cultura e Extensão,Cibelle Celestino Silva,1
2020,CDCC,"ABC na Educação Científica   Mão na Massa, no CDCC",Cultura e Extensão,Salete Linhares Queiroz,2
2020,CDCC,CDCC Maker,Cultura e Extensão,Valter Luiz Líbero,4
2020,CDCC,CDCC-USP: 40 anos difundindo a Ciência para São Carlos e região.,Cultura e Extensão,Nelma Regina Segnini Bossolan,2
2020,CDCC,Cine Observatório: quando Astronomia e Arte se encontram,Cultura e Extensão,Luiz Vitor de Souza Filho,2
2020,CDCC,CINECLUBE CDCC,Cultura e Extensão,Elisabete Moreira Assaf,2
2020,CDCC,Divulgando Jogos e Conhecimentos Matemáticos para São Carlos e para o Brasil -VI,Cultura e Extensão,Edna Maura Zuffi,1
2020,CDCC,ESPAÇO LÚDICO - jogos e atividades educativas na construção do conhecimento,Cultura e Extensão,Hidetake Imasato,2
2020,CDCC,Informática para alunos do Ensino Fundamental e Médio: uma proposta educativa de inclusão digital e social,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,2
2020,CDCC,Passeando pelo Jardim do Céu na Terra,Cultura e Extensão,Valter Luiz Líbero,1
2020,CDCC,Raios! Mensageiros do cosmos,Cultura e Extensão,Cibelle Celestino Silva,2
2020,CDCC,Visitas Científicas Monitoradas do CDCC,Cultura e Extensão,Salete Linhares Queiroz,8
2020,CEBIMar,Monitoria em visitas guiadas ao CEBIMar: formação acadêmica aliada à divulgação científica e educação ambiental,Cultura e Extensão,Alvaro Esteves Migotto,2
2020,CENA,Alternativa limpa e de baixo custo para a avaliação de qualidade de leite explorando fotometria com imagens digitais,Pesquisa,Fabio Rodrigo Piovezani Rocha,1
2020,CENA,Analise filogenética da glicoproteína  spike  S do vírus Sars-Cov-2,Pesquisa,Diego Mauricio Riaño Pachón,1
2020,CENA,"Articulação das Ações do Grupo de Trabalho Água e sua Atualização no Banco de Dados do Plano Diretor Socioambiental 
do Campus USP  Luiz de Queiroz",Cultura e Extensão,Plinio Barbosa de Camargo,1
2020,CENA,"Avaliação de parâmetros hídricos de corpos hídricos: microbacia do Ribeirão Piracicamirim e Nascentes do campus  Luiz de Queiroz , USP Piracicaba.",Pesquisa,Plinio Barbosa de Camargo,1
2020,CENA,"Boro, Cobre e Zinco no Sistema Serapilheira-Solo-Planta em Cultivo de Eucalyptus Tratado com Lodo de Esgoto Classe B",Pesquisa,Cassio Hamilton Abreu Junior,1
2020,CENA,Caracterização de linhagens de tomateiro expressando o gene de síntese de citocinina IPT-3 para investigar a patogênese de Moniliophthora perniciosa,Pesquisa,Antonio Vargas de Oliveira Figueira,1
2020,CENA,"Confirmação de interação proteína-proteína por ensaio invertido de duplo híbrido de levedura, para determinação de interatores da AtPI4Kgamma1.",Pesquisa,Francisco Scaglia Linhares,1
2020,CENA,Desenvolvimento e aplicação de procedimento analítico baseado em imagens digitais para a detecção de fraudes por adição de ureia em leite,Pesquisa,Fabio Rodrigo Piovezani Rocha,1
2020,CENA,Dieta proteica e transcriptômica de tecidos associadas a genes de resistência a endoparasitas em ovinos deslanados,Pesquisa,Helder Louvandini,1
2020,CENA,"Elaboração de atividades educativas tema  Água  à alunos de Ensino Fundamental e comunidade do campus  Luiz de Queiroz , Universidade de São Paulo.",Ensino,Plinio Barbosa de Camargo,1
2020,CENA,"Germinação, desenvolvimento pós-seminal e estabelecimento de plântulas de espécies de Hohenbergia (Bromeliaceae)",Pesquisa,Adriana Pinheiro Martinelli,1
2020,CENA,OTIMIZAÇÃO DA EXTRAÇÃO ASSISTIDA POR MICRO-ONDAS DE COMPOSTOS BIOATIVOS DE FRUTAS,Pesquisa,Fabio Rodrigo Piovezani Rocha,1
2020,CENA,Produção e valor nutritivo de forragens em sistemas de pastejo multiespécies para sustentabilidade da produção de ovinos na agricultura familiar.,Pesquisa,Adibe Luiz Abdalla,1
2020,CENA,PRODUTIVIDADE E BROTAÇÃO DE PLEUROTUS OSTREATUS CULTIVADO EM AMBIENTES SOMBREADO E A PLENO SOL,Pesquisa,Elisabete Aparecida De Nadai Fernandes,1
2020,CENA,Valoração econômica dos impactos das mudanças no uso da terra em serviços ecossistêmicos providos pelo ciclo da água em uma fronteira agrícola (MT),Pesquisa,Maria Victoria Ramos Ballester,1
2020,CEPEUSP,PROGRAMA DE DESENVOLVIMENTO HUMANO PELO ESPORTE: PROJETO BRINCAR NO CEPEUSP (PBC) E PROJETO ESPORTE TALENTO (PET),Cultura e Extensão,Luiz Eduardo Pinto Basto Tourinho Dantas,4
2020,CEUMA,Comunicação Visual do Centro Universitário Maria Antonia,Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,1
2020,CEUMA,"Documentação CEUMA: pesquisa, organização e difusão do material de divulgação do Centro Universitário Maria Antonia",Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,2
2020,CEUMA,Produção de eventos no Centro Universitário Maria Antonia,Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,1
2020,CienTec,"Parque CienTec -  formação de mediadores, atendimento ao público e ações na comunidade",Cultura e Extensão,Flavio Augusto de Souza Berchez,15
2020,CINUSP,PROJETO CINUSP / PRCEU,Cultura e Extensão,Cristian da Silva Borges,7
2020,CPC,Catalogação do acervo bibliográfico do Centro de Preservação Cultural da Universidade de São Paul,Cultura e Extensão,Martha Marandino,1
2020,CPC,Educação e patrimônio na USP: conceituação e práticas na Casa de Dona Yayá,Cultura e Extensão,Simone Scifoni,3
2020,CPC,Revista CPC: boas práticas editoriais,Cultura e Extensão,Martha Marandino,1
2020,EACH,1. O Envelhecimento Ativo pela prática da Dança Sênior,Cultura e Extensão,Rosa Yuka Sato Chubaci,4
2020,EACH,"A biodiversidade de angiospermas nos campos e florestas de altitude de Campos do Jordão, Serra da Mantiqueira, sudeste do Brasil",Pesquisa,Leonardo Dias Meireles,1
2020,EACH,A experiência com metodologias ativas: relatos dos estudante,Ensino,Mariana Harumi Cruz Tsukamoto,2
2020,EACH,A Pandemia de COVID-19 no contexto do consumo de energia fóssil no Brasil e da mitigação das mudanças climáticas,Pesquisa,André Felipe Simões,1
2020,EACH,A saúde mental pós-pandemia e as políticas públicas integrativas e complementares,Pesquisa,Lisete Barlach,1
2020,EACH,Absorção e fluorescência no estudo da formação de nanocompósitos (própolis e nanoargilas) para desenvolvimento de sistemas de liberação de drogas.,Pesquisa,Patricia Targon Campana,1
2020,EACH,"ACOMPANHAMENTO, DIVULGAÇÃO E AVALIAÇÃO DAS ATIVIDADES DO CICLO BÁSICO DA EACH/USP",Ensino,Humberto Miguel Garay Malpartida,2
2020,EACH,ActStudio: pacote de aplicações para o processamento e análise de dados actimétricos na linguagem de programação R,Pesquisa,Ana Amélia Benedito Silva,1
