Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2023,BibMindlin,A Brasiliana do século XXI,Cultura e Extensão,Alexandre Macchione Saes,5
2023,BibMindlin,A Conservação Preventiva do Acervo da Biblioteca Brasiliana Guita e Jose Mindlin,Cultura e Extensão,Plinio Martins Filho,4
2023,BibMindlin,"Acervos Digitais da BBM: Gestão de obras raras, coleções especiais e conjuntos documentais",Cultura e Extensão,Hélio de Seixas Guimarães,3
2023,BibMindlin,"Literatura brasileira na BBM: levantamento, descrição e divulgação das primeiras edições",Cultura e Extensão,Hélio de Seixas Guimarães,5
2023,BibMindlin,Mediação Cultural na Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Alexandre Macchione Saes,5
2023,BibMindlin,Os ex-líbris da Coleção Mindlin: documentação e difusão,Cultura e Extensão,Plinio Martins Filho,4
2023,BibMindlin,Setor de Publicações,Cultura e Extensão,Plinio Martins Filho,2
2023,CDCC,A experimentação no ensino de Ciências,Cultura e Extensão,Fernando Fernandes Paiva,4
2023,CDCC,A Sala Solar: um espaço para introdução e apreciação da Física Moderna,Cultura e Extensão,Cibelle Celestino Silva,2
2023,CDCC,"ABC na Educação Científica - Mão na Massa, no CDCC",Cultura e Extensão,Salete Linhares Queiroz,1
2023,CDCC,CDCC Maker   oficinas de aprendizagem e criação dirigidas a jovens estudantes,Cultura e Extensão,Valter Luiz Líbero,2
2023,CDCC,Cine Observatório: quando Astronomia e Arte se encontram,Cultura e Extensão,Luiz Vitor de Souza Filho,1
2023,CDCC,CINECLUBE CDCC,Cultura e Extensão,Nelma Regina Segnini Bossolan,2
2023,CDCC,Divulgando Jogos e Conhecimentos Matemáticos para São Carlos e para o Brasil   IX,Cultura e Extensão,Edna Maura Zuffi,2
2023,CDCC,Espaço Lúdico - Jogos e Atividades Educativas na Construção do Conhecimento,Cultura e Extensão,Fernando Fernandes Paiva,2
2023,CDCC,Informática para alunos do Ensino Fundamental e Médio: uma proposta educativa de inclusão digital e social,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,1
2023,CDCC,Passeando pelo Jardim do Céu na Terra,Cultura e Extensão,Valter Luiz Líbero,3
2023,CDCC,Raios! Mensageiros do cosmos,Cultura e Extensão,Cibelle Celestino Silva,2
2023,CDCC,Visitas Científicas Monitoradas do CDCC,Cultura e Extensão,Nelma Regina Segnini Bossolan,7
2023,CEBIMar,Monitoria em visitas guiadas ao CEBIMar: formação acadêmica aliada à divulgação científica e educação ambiental,Cultura e Extensão,Samuel Coelho de Faria,3
2023,CENA,"Análise dos efeitos de nanoplásticos na microalga Chlamydomonas reinhardtii: inibição de crescimento, estresse oxidativo e teor de clorofila",Pesquisa,Flavia Vischi Winck,1
2023,CENA,Análise funcional do perfil hormonal associado a resistência a Moniliophthora perniciosa usando mutantes e linha transgênica em tomateiro Micro-Tom,Pesquisa,Antonio Vargas de Oliveira Figueira,1
2023,CENA,Análise in silico da região promotora de genes associados à biossíntese da parede celular em Setaria viridis,Pesquisa,Diego Mauricio Riaño Pachón,1
2023,CENA,Análise proteômica do condicionamento de sementes de milho (Zea mays L.) com bio-nanopartículas de microalgas e óxido de ferro,Pesquisa,Flavia Vischi Winck,1
2023,CENA,Apoio na produção de recursos didáticos para a disciplina  CEN0336 - Introdução à Programação de Computadores Aplicada a Ciências Biológicas,Ensino,Diego Mauricio Riaño Pachón,1
2023,CENA,Articulação das ações do grupo de trabalho Água e sua atualização no banco de dados do Plano Diretor Socioambiental do campus  Luiz de Queiroz .,Cultura e Extensão,Plinio Barbosa de Camargo,2
2023,CENA,Autenticação forense do mel com indicação geográfica do Pantanal,Pesquisa,Elisabete Aparecida De Nadai Fernandes,1
2023,CENA,AVALIAÇÃO DA COMPETITIVIDADE E COMPATIBILIDADE SEXUAL ENTRE MOSCAS DE UMA GENETIC SEXING STRAIN E OUTRAS POPULAÇÕES DE Anastrepha fraterculus,Pesquisa,Thiago de Araújo Mastrangelo,1
2023,CENA,"Avaliação de parâmetros hídricos qualitativos em corpos hídricos: microbacia do Ribeirão Piracicamirim e Nascentes do campus Luiz de Queiroz, USP.",Pesquisa,Plinio Barbosa de Camargo,1
2023,CENA,"Avaliação do manejo nutricional no crescimento e rendimento de biomassa da cultura da cana-energia, em ambiente controlado e em campo",Pesquisa,Cassio Hamilton Abreu Junior,1
2023,CENA,AVALIAÇÃO DOS VASOS CONDUTORES DO XILEMA NO TOMATEIRO,Ensino,José Lavres Junior,1
2023,CENA,Bioacumulação e depleção do antibiótico Sulfadiazina em peixe (Astianax sp.) e minhoca (Eisenia andrei),Pesquisa,Valdemar Luiz Tornisielo,1
2023,CENA,BIOINDICADORES DE SILICA E MÚLTIPLAS ANÁLISES NA RECONSTITUIÇÃO MILENAR AMBIENTAL E DO MANGUEZAL DE MARAPANIM (PA),Pesquisa,Luiz Carlos Ruiz Pessenda,1
