Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2022,BibMindlin,A Higienização na Conservação Preventiva do Acervo da Biblioteca Brasiliana Guita e Jose Mindlin,Cultura e Extensão,Alexandre Macchione Saes,5
2022,BibMindlin,"Acervos Digitais da BBM: Gestão de obras raras, coleções especiais e conjuntos documentais",Cultura e Extensão,Plinio Martins Filho,5
2022,BibMindlin,BBM e a Brasiliana do século XXI,Cultura e Extensão,Alexandre Macchione Saes,3
2022,BibMindlin,"Literatura brasileira em tradução na BBM   Levantamento, descrição e divulgação",Cultura e Extensão,Hélio de Seixas Guimarães,3
2022,BibMindlin,Mediação Cultural na Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Alexandre Macchione Saes,5
2022,BibMindlin,Preservação digital do acervo da Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Plinio Martins Filho,2
2022,BibMindlin,Setor de Publicações,Cultura e Extensão,Plinio Martins Filho,3
2022,CDCC,A experimentação no ensino de Ciências,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,6
2022,CDCC,A Sala Solar: um espaço para introdução e apreciação da Física Moderna,Cultura e Extensão,Cibelle Celestino Silva,1
2022,CDCC,"ABC na Educação Científica - Mão na Massa, no CDCC",Cultura e Extensão,Salete Linhares Queiroz,3
2022,CDCC,CDCC Maker - oficinas de aprendizagem e criação dirigidas a jovens estudantes,Cultura e Extensão,Valter Luiz Líbero,4
2022,CDCC,Cine Observatório: quando Astronomia e Arte se encontram,Cultura e Extensão,Luiz Vitor de Souza Filho,1
2022,CDCC,Cineclube CDCC,Cultura e Extensão,Elisabete Moreira Assaf,2
2022,CDCC,Divulgando Jogos e Conhecimentos Matemáticos para São Carlos e para o Brasil -VIII,Cultura e Extensão,Edna Maura Zuffi,1
2022,CDCC,Espaço Lúdico - jogos e atividades educativas na construção do conhecimento,Cultura e Extensão,Hidetake Imasato,3
2022,CDCC,Gestão e produção de conteúdo para o Website ATLAS SANCA,Cultura e Extensão,Nelma Regina Segnini Bossolan,2
2022,CDCC,Informática para alunos do ensino fundamental e médio: uma proposta educativa de inclusão digital e social,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,3
2022,CDCC,Passeando pelo Jardim do Céu na Terra,Cultura e Extensão,Valter Luiz Líbero,2
2022,CDCC,Raios! Mensageiros do cosmos,Cultura e Extensão,Cibelle Celestino Silva,2
2022,CDCC,Visitas Científicas Monitoradas do CDCC.,Cultura e Extensão,Nelma Regina Segnini Bossolan,8
2022,CEBIMar,Aprendendo ciência com os caranguejos: o compromisso entre respiração e osmorregulação na função branquial,Pesquisa,Samuel Coelho de Faria,1
2022,CEBIMar,FilMAR e AniMAR: produção de vídeos e animações para a divulgação científica e educação ambiental em Biologia Marinha,Cultura e Extensão,Alvaro Esteves Migotto,3
2022,CEBIMar,Monitoria em visitas guiadas ao CEBIMar: formação acadêmica aliada à divulgação científica e educação ambiental,Cultura e Extensão,Samuel Coelho de Faria,3
2022,CENA,Adição de resíduos de costaneiras de Tectona grandis ao processo de polpação kraft com madeira de eucalip,Pesquisa,Alex Virgilio,1
2022,CENA,ABSORÇÃO FOLIAR E TRANSPORTE DE CÁLCIO E ESTRÔNCIO NO TOMATEIRO,Pesquisa,Hudson Wallace Pereira de Carvalho,2
2022,CENA,Análise dos efeitos da adição de inibidores de enzimas do metabolismo de aminoácidos na produção de lipídios e perfil proteômico em microalgas,Pesquisa,Flavia Vischi Winck,1
2022,CENA,Análise isotópica das serpentes do campus da Escola Superior de Agricultura  Luiz de Queiroz,Pesquisa,Luiz Antonio Martinelli,1
2022,CENA,Apoio na produção de recursos didáticos para a disciplina  CEN0336 - Introdução à Programação de Computadores Aplicada a Ciências Biológicas,Ensino,Diego Mauricio Riaño Pachón,1
2022,CENA,Articulação das Ações do Grupo de Trabalho Água e sua Atualização no Banco de Dados do Plano Diretor Socioambiental do Campus USP  Luiz de Queiroz,Cultura e Extensão,Plinio Barbosa de Camargo,3
2022,CENA,"Aspectos biológicos de Tuta absoluta (Meyrick, 1917) em tomateiros transgênicos expressando RNA de dupla fita (dsRNA)",Pesquisa,Antonio Vargas de Oliveira Figueira,1
2022,CENA,AVALIAÇÃO DA EFICIÊNCIA DE SISTEMAS ESTÁTICO E AUTOMÁTICO ACOPLADO A DRONE PARA LIBERAÇÃO DE MOSCAS ESTÉREIS.,Pesquisa,Thiago de Araújo Mastrangelo,1
2022,CENA,AVALIAÇÃO DE PARÂMETROS HÍDRICOS QUALITATIVOS EM CORPOS HÍDRICOS: MICROBACIA DO RIBEIRÃO PIRACICAMIRIM E NASCENTES DO CAMPUS  LUIZ DE QUEIROZ  - USP,Pesquisa,Plinio Barbosa de Camargo,2
2022,CENA,Avaliação do efeito da fertilidade do solo no crescimento e produção de biomassa de culturas bioenergéticas,Pesquisa,Cassio Hamilton Abreu Junior,2
2022,CENA,Caracterização química elementar da madeira livre de extrativos de espécies arbóreas nativas brasileiras,Pesquisa,Alex Virgilio,1
2022,CENA,"Composição de elementos inorgânicos em frutos de tomateiro Micro-Tom mutantes para SELF-PRUNING e
SINGLE FLOWER TRUSS",Pesquisa,Antonio Vargas de Oliveira Figueira,1
