Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2025,BibMindlin,"Fluxo dos objetos digitais da BBM: da estante para os computadores de todo o mundo (conservação, biblioteca digital e comunicação na BBM)",Cultura e Extensão,Alexandre Macchione Saes,6
2025,BibMindlin,Literatura Brasileira na BBM,Cultura e Extensão,Hélio de Seixas Guimarães,5
2025,BibMindlin,Livros de Artista: Descrição e Acesso da Coleção da BBM,Cultura e Extensão,Cibele Araujo Camargo Marques dos Santos,1
2025,BibMindlin,Multiclássicos   Românticos: Produção de uma Coletânea de Romances Dedicada ao Período de Fundação da Nacionalidade,Ensino,Plinio Martins Filho,1
2025,BibMindlin,Publicações BBM e Mediação Cultural - Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Plinio Martins Filho,6
2025,CDCC,A experimentação no ensino de Ciências,Cultura e Extensão,Eduardo Ribeiro de Azevêdo,3
2025,CDCC,A Sala Solar: um espaço para introdução e apreciação da física moderna,Cultura e Extensão,Krissia de Zawadzki,1
2025,CDCC,"ABC na Educação Científica - Mão na Massa, no CDCC",Cultura e Extensão,Salete Linhares Queiroz,1
2025,CDCC,Atividades de Extensão e de divulgação científica no âmbito do ensino e aprendizagem de matemática para educação básica,Cultura e Extensão,Renata Cristina Geromel Meneghetti,1
2025,CDCC,Cineclube CDCC,Cultura e Extensão,Otavio Henrique Thiemann,1
2025,CDCC,CURSINHO POPULAR DA LICENCIATURA EM CIÊNCIAS EXATAS,Cultura e Extensão,Fernando Fernandes Paiva,1
2025,CDCC,Espaço Lúdico - jogos e atividades educativas na construção do conhecimento,Cultura e Extensão,Diogo de Oliveira Soares Pinto,1
2025,CDCC,Informática para alunos do ensino fundamental e médio: uma proposta educativa de inclusão digital e social,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,1
2025,CDCC,Teatro Virtual de Imersão: o primeiro planetário fixo da cidade de São Carlos,Cultura e Extensão,Valter Luiz Líbero,3
2025,CDCC,Visitas Científicas Monitoradas do CDCC,Cultura e Extensão,Nelma Regina Segnini Bossolan,3
2025,CEBIMar,Monitoria em visitas guiadas ao CEBIMar: formação acadêmica aliada à divulgação da cultura oceânica,Cultura e Extensão,Samuel Coelho de Faria,2
2025,CENA,ADMINISTRAÇÃO DA CASA DO ESTUDANTE UNIVERSITÁRIO COMO FERRAMENTA SOCIAL DE PERTENCIMENTO E GESTÃO DAS MORADIAS ESTUDANTIS NO CAMPUS  LUIZ DE QUEIROZ,Inclusão e Pertencimento,Marli de Fatima Fiore,1
2025,CENA,Análise do Impacto da Suplementação de Ornitina no Proteoma da microalga Chlamydomonas reinhardtii,Pesquisa,Flavia Vischi Winck,1
