Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2024,BibMindlin,"Fluxo dos objetos digitais da BBM: da estante para os computadores de todo o mundo (conservação, biblioteca digital e comunicação na BBM)",Cultura e Extensão,Alexandre Macchione Saes,10
2024,BibMindlin,"Literatura brasileira na BBM: levantamento, descrição, divulgação e mediação cultural",Cultura e Extensão,Hélio de Seixas Guimarães,10
2024,BibMindlin,Livros de artista: descrição e acesso,Cultura e Extensão,Cibele Araujo Camargo Marques dos Santos,3
2024,BibMindlin,Publicações BBM,Cultura e Extensão,Plinio Martins Filho,4
2024,CDCC,A experimentação no ensino de Ciências,Cultura e Extensão,Eduardo Ribeiro de Azevêdo,4
2024,CDCC,A Sala Solar: um espaço para introdução e apreciação da física moderna,Cultura e Extensão,Krissia de Zawadzki,2
2024,CDCC,"ABC na Educação Científica - Mão na Massa, no CDCC",Cultura e Extensão,Salete Linhares Queiroz,2
2024,CDCC,Atividades de Extensão e de divulgação científica no âmbito do ensino e aprendizagem de matemática para educação básic,Cultura e Extensão,Renata Cristina Geromel Meneghetti,1
2024,CDCC,CDCC Maker   oficinas de aprendizagem e criação dirigidas a jovens estudantes,Cultura e Extensão,Paulo Barbeitas Miranda,2
2024,CDCC,Cine Observatório: quando Astronomia e Arte se encontram,Cultura e Extensão,Aion da Escossia Melo Viana,2
2024,CDCC,CINECLUBE CDCC,Cultura e Extensão,André Luiz Meleiro Porto,2
2024,CDCC,CURSINHO POPULAR DA LICENCIATURA EM CIÊNCIAS EXATAS,Cultura e Extensão,Fernando Fernandes Paiva,2
2024,CDCC,Espaço Lúdico - jogos e atividades educativas na construção do conhecimento,Cultura e Extensão,Diogo de Oliveira Soares Pinto,2
2024,CDCC,Informática para alunos do ensino fundamental e médio: uma proposta educativa de inclusão digital e social,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,2
2024,CDCC,Passeando pelo Jardim do Céu na Terra,Cultura e Extensão,Valter Luiz Líbero,2
2024,CDCC,Raios! Mensageiros do cosmos,Cultura e Extensão,Cibelle Celestino Silva,2
2024,CDCC,Visitas Científicas Monitoradas do CDCC,Cultura e Extensão,Nelma Regina Segnini Bossolan,7
2024,CEBIMar,Monitoria em visitas guiadas ao CEBIMar: formação acadêmica aliada à divulgação da cultura oceânica,Cultura e Extensão,Samuel Coelho de Faria,3
2024,CENA,"Avaliação de parâmetros hídricos qualitativos em corpos hídricos: microbacia do Ribeirão Piracicamirim e nascentes do campus  Luiz de Queiroz , USP",Pesquisa,Plinio Barbosa de Camargo,1
2024,CENA,Avaliação do efeito da acidez e da temperatura de armazenamento na estabilidade de digeridos de materiais de referência,Pesquisa,Alex Virgilio,1
2024,CENA,Avaliação do impacto da adubação nitrogenada no crescimento e rendimento de biomassa de cana-energia em condições comerciais de cultivo,Pesquisa,Cassio Hamilton Abreu Junior,1
2024,CENA,BIOMASSA DE MICROALGAS COMO CARREADORAS DE NANOPARTÍCULAS E DISPOSITIVOS GENÉTICOS PARA CONTROLE DE INSETOS-PRAGA NO SETOR AGRICOLA,Pesquisa,Flavia Vischi Winck,1
2024,CENA,Cana-de-açúcar inoculada com Methylobacterium symbioticum: desvendando os efeitos da bactéria na planta,Pesquisa,Eduardo Mariano,1
