Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2016,BibMindlin,PROJETO CONSERVAÇÃO E HIGIENIZAÇÃO DE ACERVOS,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,4
2016,BibMindlin,PROJETO DE GESTÃO DE ACERVO DE OBRAS RARAS BBM,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,3
2016,BibMindlin,PROJETO DIGITALIZAÇÃO BBM,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,3
2016,BibMindlin,SETOR EDUCATIVO DA BIBLIOTECA BRASILIANA USP GUITA E JOSÉ MINDLIN,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,4
2016,CDCC,A Experimentação no Ensino de Ciências,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,3
2016,CDCC,A Sala Solar: um espaço para introdução e apreciação da Física Moderna,Cultura e Extensão,Cibelle Celestino Silva,1
2016,CDCC,"ABC na Educação Científica   Mão na Massa, no CDCC",Cultura e Extensão,André Luiz Meleiro Porto,2
2016,CDCC,Cine Observatório: quando Astronomia e Arte se encontram.,Cultura e Extensão,Luiz Vitor de Souza Filho,2
2016,CDCC,CINECLUBE CDCC,Cultura e Extensão,Valter Luiz Líbero,2
2016,CDCC,Divulgação de modelos femininos para a igualdade de gênero: as mulheres na astronomia e astrofísica como parte das atividades de extensão do CDCC,Cultura e Extensão,Manuela Vecchi,1
2016,CDCC,Divulgando Jogos e Conhecimentos Matemáticos para São Carlos e para o Brasil -II,Cultura e Extensão,Edna Maura Zuffi,2
2016,CDCC,Espaço Lúdico - jogos e atividades educativas na construção do conhecimento,Cultura e Extensão,Hidetake Imasato,2
2016,CDCC,Experimentoteca Maker,Cultura e Extensão,Sérgio Ricardo Muniz,2
2016,CDCC,Exposição de ciências enquanto promotora de Divulgação Científica: atividade de mediação desenvolvida por estudantes de cursos de graduação da USP,Cultura e Extensão,Maria Teresa do Prado Gambardella,2
2016,CDCC,Informática para alunos do Ensino Fundamental e Médio: uma proposta educativa de inclusão digital e social,Cultura e Extensão,Eduardo Marques,2
2016,CDCC,O CDCC-USP vai às Escolas,Cultura e Extensão,Roberto Nicolau Onody,2
2016,CDCC,Passeando pelo Jardim do Céu na Terra,Cultura e Extensão,Cibelle Celestino Silva,1
2016,CDCC,Visitas monitoradas: Educação Ambiental em Áreas Verdes Urbanas,Cultura e Extensão,Salete Linhares Queiroz,3
2016,CEBIMar,Monitoria em visitas guiadas ao CEBIMar: formação acadêmica aliada à divulgação científica e educação ambiental,Cultura e Extensão,Alvaro Esteves Migotto,2
2016,CENA,Apoio ao Gerenciamento de Resíduos Sólidos no CENA,Cultura e Extensão,Jose Albertino Bendassolli,1
2016,CENA,Articulação das Ações do Grupo de Trabalho Água e Atualização do Banco de Dados do Plano Diretor Socioambiental do Campus  Luiz de Queiroz,Cultura e Extensão,Plinio Barbosa de Camargo,1
2016,CENA,"Atividades de treinamento, apoio e extensão relacionadas ao Gerenciamento de Resíduos Químicos Perigosos nas instalações do CENA/USP",Cultura e Extensão,Jose Albertino Bendassolli,1
2016,CENA,Avaliação da qualidade de água de um sistema de Captação de Água Pluvial. Estudo de caso: Laboratório de Ecologia Isotópica/CENA/USP,Pesquisa,Plinio Barbosa de Camargo,1
2016,CENA,Avaliação dos efeitos da radiação gama na betalaína da beterraba,Pesquisa,Valter Arthur,1
2016,CENA,IMPACTOS DAS MUDANÇAS CLIMÁTICAS E FLUTUAÇÕES DO NÍVEL DO MAR NOS MANGUEZAIS BRASILEIROS EM UMA ESCALAR SECULAR E MILENAR (envio no.2).,Pesquisa,Luiz Carlos Ruiz Pessenda,2
2016,CENA,Monitoramento hidrológico qualitativo das nascentes do Campus  Luiz de Queiroz  e da microbacia do Monte Olimpo sob diferentes usos do solo.,Pesquisa,Plinio Barbosa de Camargo,1
2016,CENA,"Qualidade de água na micro bacia hidrográfica do Ribeirão Piracicamirim, Piracicaba, SP.",Pesquisa,Plinio Barbosa de Camargo,1
2016,CENA,Tratamento do Lodo de ETA por Fungos,Pesquisa,Regina Teresa Rosim Monteiro,2
2016,CEPEUSP,Ginástica Laboral na USP,Cultura e Extensão,Alexandre Moreira,4
2016,CEPEUSP,Projeto Educação Esportiva - Programa de Formação e Estudo em Desenvolvimento Humano pelo Esporte (PRODHE),Cultura e Extensão,Luiz Eduardo Pinto Basto Tourinho Dantas,2
