Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2021,BibMindlin,A Higienização na Conservação Preventiva do Acervo da Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,5
2021,BibMindlin,Atlas dos viajantes no Brasil - ampliação e aprimoramento da plataforma,Cultura e Extensão,Alexandre Macchione Saes,4
2021,BibMindlin,Biblioteca Digital da BBM: gestão de obras raras e coleções especiais,Cultura e Extensão,Alexandre Macchione Saes,4
2021,BibMindlin,DOCUMENTOS DA INDEPENDÊNCIA: ENSAIO EXPOSITIVO,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,3
2021,BibMindlin,Machado de Assis: primeiras edições e raridades   exposição e catálogo virtuais,Cultura e Extensão,Hélio de Seixas Guimarães,3
2021,BibMindlin,Mediação Cultural na Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Alexandre Macchione Saes,4
2021,BibMindlin,Preservação digital do acervo da Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Carlos Alberto de Moura Ribeiro Zeron,3
2021,BibMindlin,Setor de Publicações,Cultura e Extensão,Plinio Martins Filho,2
2021,CDCC,A experimentação no ensino de Ciências,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,6
2021,CDCC,A Sala Solar: um espaço para introdução e apreciação da Física Moderna,Cultura e Extensão,Cibelle Celestino Silva,1
2021,CDCC,"ABC na Educação Científica - Mão na Massa, no CDCC",Cultura e Extensão,Salete Linhares Queiroz,2
2021,CDCC,CDCC Maker,Cultura e Extensão,Valter Luiz Líbero,2
2021,CDCC,Cine Observatório: quando Astronomia e Arte se encontram,Cultura e Extensão,Luiz Vitor de Souza Filho,1
2021,CDCC,CINECLUBE CDCC,Cultura e Extensão,Elisabete Moreira Assaf,2
2021,CDCC,Divulgando Jogos e Conhecimentos Matemáticos para São Carlos e para o Brasil -VII,Cultura e Extensão,Edna Maura Zuffi,1
2021,CDCC,Espaço Lúdico - jogos e atividades educativas na construção do conhecimento,Cultura e Extensão,Hidetake Imasato,3
2021,CDCC,Informática para alunos do ensino fundamental e médio: uma proposta educativa de inclusão digital e social,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,3
2021,CDCC,Passeando pelo Jardim do Céu na Terra,Cultura e Extensão,Valter Luiz Líbero,1
2021,CDCC,Raios! Mensageiros do cosmos,Cultura e Extensão,Cibelle Celestino Silva,1
2021,CDCC,Visitas Científicas Monitoradas do CDCC,Cultura e Extensão,Salete Linhares Queiroz,6
2021,CEBIMar,FilMAR e AniMAR: produção de vídeos e animações para a divulgação científica e educação ambiental em Biologia Marinha,Cultura e Extensão,Alvaro Esteves Migotto,3
2021,CENA,Agricultura regenerativa: impactos nos teores e no sequestro de carbono no solo,Pesquisa,Maria Victoria Ramos Ballester,1
2021,CENA,Análise filogenética de CAZymes envolvidas no desconstrução de biomassa vegetal,Pesquisa,Diego Mauricio Riaño Pachón,2
2021,CENA,Análise funcional do gene SlUACA em tomateiro cv. Micro-Tom e seu papel na susceptibilidade ao patógeno Moniliophthora perniciosa,Pesquisa,Antonio Vargas de Oliveira Figueira,1
2021,CENA,Articulação das Ações do Grupo de Trabalho Água e sua Atualização no Banco de Dados do Plano Diretor Socioambiental do Campus USP  Luiz de Queiroz,Cultura e Extensão,Plinio Barbosa de Camargo,2
2021,CENA,Avaliação de tomateiro transgênicos híbridos para controle de Tuta absoluta por RNA de interferência (RNAi),Pesquisa,Antonio Vargas de Oliveira Figueira,1
2021,CENA,"AVALIAÇÃO DOS PAR METROS HÍDRICOS QUALITATIVOS NOS CORPOS HÍDRICOS: MICROBACIA DO RIBEIRÃO PIRACICAMIRIM E NASCENTES DO CAMPUS  LUIZ DE QUEIROZ , USP",Pesquisa,Plinio Barbosa de Camargo,1
2021,CENA,Bioestimulantes de plantas em cianobactérias: uma estratégia de sustentabilidade na agricultura,Pesquisa,Ernani Pinto Junior,1
2021,CENA,Bioestimulantes de plantas em cianobactérias: uma estratégia de sustentabilidade na agricultura.,Pesquisa,Ernani Pinto Junior,1
2021,CENA,Desenvolvimento e teste de biofertilizante feito a partir de microalgas,Pesquisa,Flavia Vischi Winck,1
2021,CENA,Determinação da umidade em solos baseados no ponto de inflexão da curva característica: subsídios para experimentação com cultura da cana-energia,Pesquisa,Cassio Hamilton Abreu Junior,1
2021,CENA,"DETERMINAÇÃO DO PERFIL DE NUTRIENTES, PROTEÍNA E ÓLEO NOS
GRÃOS DAS PRINCIPAIS CULTIVARES DE SOJA (Glycine max (L.) Merrill)
CULTIVADAS NO BRASIL",Pesquisa,Hudson Wallace Pereira de Carvalho,1
2021,CENA,Efeitos das nanopartículas de óxido de zinco no metabolismo da microbiota ruminal,Pesquisa,Helder Louvandini,1
2021,CENA,"Elaboração e aplicação de atividades educacionais sobre o tema  Água  - ensino infantil e a comunidade do campus  Luiz de Queiroz , USP",Ensino,Plinio Barbosa de Camargo,2
2021,CENA,Estudo tecnológico de cavacos de madeira obtidos a partir de resíduos de costaneiras de Tectona grandis,Pesquisa,Alex Virgilio,1
2021,CENA,"Germinação, desenvolvimento pós-seminal e estabelecimento de plântulas de espécies de Hohenbergia (Bromeliaceae)",Pesquisa,Adriana Pinheiro Martinelli,1
2021,CENA,"Melhorando a nutrição com cálcio: estudo de caso sobre
fertilizantes foliares em citros",Pesquisa,Hudson Wallace Pereira de Carvalho,1
2021,CENA,NANOHERBICIDA METRIBUZIN: EFICÁCIA DE CONTROLE DE PLANTAS DANINHAS E EFEITO SOBRE CULTURAS,Pesquisa,Valdemar Luiz Tornisielo,1
2021,CENA,Nova alternativa para a avaliação da qualidade de leite processado explorando fotometria com imagens digitais,Pesquisa,Fabio Rodrigo Piovezani Rocha,1
2021,CENA,Suscetibilidade de tomateiro superexpressando o gene da via de síntese de citocinina ISOPENTENYL TRANSFERASE 3 (SlIPT3) a Moniliophthora perniciosa,Pesquisa,Antonio Vargas de Oliveira Figueira,1
2021,CENA,Validação de método analítico para determinação de ferro em produtosfarmacêuticos por colorimetria com imagens digitais,Pesquisa,Alex Virgilio,1
2021,CEPEUSP,BUTANTÃ + CAMINHÁVEL,Cultura e Extensão,Luiz Eduardo Pinto Basto Tourinho Dantas,2
2021,CEPEUSP,PROGRAMA DE DESENVOLVIMENTO HUMANO PELO ESPORTE: PROJETO BRINCAR NO CEPEUSP (PBC) E PROJETO ESPORTE TALENTO (PET),Cultura e Extensão,Luiz Eduardo Pinto Basto Tourinho Dantas,4
2021,CEUMA,Comunicação Visual do Centro Universitário Maria Antonia,Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,2
2021,CEUMA,"Documentação CEUMA - Pesquisa, organização e difusão do material de divulgação do Centro Universitário Maria Antonia",Cultura e Extensão,Lucia Maciel Barbosa de Oliveira,2
2021,CienTec,"Parque CienTec -  formação de mediadores, atendimento ao público e ações na comunidade",Cultura e Extensão,Flavio Augusto de Souza Berchez,30
2021,CPC,Comunicação institucional: produção de conteúdo para mídias sociais,Cultura e Extensão,Martha Marandino,2
