Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2017,BibMindlin,A Higienização na Conservação Preventiva do Acervo da Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Alexandre Macchione Saes,6
2017,BibMindlin,Biblioteca Digital da BBM: Gestão das coleções especiais e obras raras,Cultura e Extensão,Alexandre Macchione Saes,3
2017,BibMindlin,Setor de Publicações: Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Alexandre Macchione Saes,4
2017,BibMindlin,Setor Educativo: Biblioteca Brasiliana Guita e José Mindlin,Cultura e Extensão,Alexandre Macchione Saes,6
2017,BibMindlin,Tratamento de coleções especiais e obras raras do acervo da BBM,Cultura e Extensão,Alexandre Macchione Saes,4
2017,CDCC,A experimentação no ensino de Ciências,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,3
2017,CDCC,A Sala Solar: um espaço para introdução e apreciação da Física Moderna,Cultura e Extensão,Cibelle Celestino Silva,1
2017,CDCC,"ABC na Educação Científica Mão na Massa, no CDCC",Cultura e Extensão,Salete Linhares Queiroz,2
2017,CDCC,Cineclube CDCC,Cultura e Extensão,Valter Luiz Líbero,2
2017,CDCC,Divulgando Jogos e Conhecimentos Matemáticos para São Carlos e para o Brasil -III,Cultura e Extensão,Edna Maura Zuffi,2
2017,CDCC,Do micro ao macro: concepção e montagem de uma exposição sobre astrofísica de partículas,Cultura e Extensão,Cibelle Celestino Silva,1
2017,CDCC,ESPAÇO LÚDICO - jogos e atividades educativas na construção do conhecimento,Cultura e Extensão,Hidetake Imasato,3
2017,CDCC,Experimentoteca Maker,Cultura e Extensão,Valter Luiz Líbero,2
2017,CDCC,Exposição de Ciências enquanto promotora de Divulgação Científica,Cultura e Extensão,Antonio Aprigio da Silva Curvelo,3
2017,CDCC,Informática para alunos do Ensino Fundamental e Médio: uma proposta educativa de inclusão digital e social,Cultura e Extensão,Valter Luiz Líbero,2
2017,CDCC,Passeando pelo Jardim do Céu na Terra,Cultura e Extensão,Cibelle Celestino Silva,2
2017,CDCC,Visitas monitoradas: Educação Ambiental em Áreas Verdes Urbanas,Cultura e Extensão,Salete Linhares Queiroz,6
2017,CENA,"AVALIAÇÃO DOS INDICADORES DE QUALIDADE DE ÁGUA NA BACIA HIDROGRÁFICA DO RIBEIRÃO PIRACICAMIRIM, PIRACICABA,",Pesquisa,Plinio Barbosa de Camargo,1
2017,CENA,"ANÁLISE DE AMOSTRAS DE CHUVA POLÍNICA MODERNA DA MATA ATLÂNTICA DA RESERVA NATURAL VALE (RNV), ES",Pesquisa,Luiz Carlos Ruiz Pessenda,1
2017,CENA,ARTICULAÇÃO DAS AÇÕES DO GRUPO DE TRABALHO ÁGUA E ATUALIZAÇÃO DO BANCO DE DADOS DO PLANO DIRETOR SOCIOAMBIENTAL DO CAMPUS  LUIZ DE QUEIROZ,Cultura e Extensão,Plinio Barbosa de Camargo,1
2017,CENA,"AVALIAÇÃO DE PARÂMETROS HÍDRICOS QUALITATIVOS NA BACIA DO RIBEIRÃO DAS POSSES, EXTREMA, MG, SOB AÇÕES DE PAGAMENTO POR SERVIÇOS AMBIENTAIS",Pesquisa,Plinio Barbosa de Camargo,1
2017,CENA,Avaliação dos corpos hídricos do campus da ESALQ junto às articulações do GT. Água para a atualização do Plano Diretor do Campus,Cultura e Extensão,Plinio Barbosa de Camargo,1
2017,CENA,Desenvolvimento de metodologia de separação das pupas do mosquito Aedes aegypti (Diptera: Culicidae) e sua relação com o aumento da longevidade,Pesquisa,Valter Arthur,1
